1_SmallDateTime,2_date,3_Time,4_DateTimeOffset,5_DateTime2,6_DateTime
1/11/2004 3:36,2/23/1988,01:01:01.11111,1989-09-12 08:17:15.0964448 +00:00,1/11/2004 3:36,1/11/2004 3:36
1/12/1999 2:43,7/31/1955,01:01:01.111111,1991-09-15 06:52:29.6794474 +00:00,1/12/1999 2:43,1/12/1999 2:43
6/29/1997 21:09,8/25/1959,01:01:01.1111111,1984-06-12 06:39:58.3999974 +00:00,6/29/1997 21:09,6/29/1997 21:09
2/11/1986 10:16,10/24/1964,01:01,1999-10-31 07:17:55.6127124 +00:00,2/11/1986 10:16,2/11/1986 10:16
1/24/2005 23:26,9/27/1957,01:01:01,1957-09-10 10:04:58.9190419 +00:00,1/24/2005 23:26,1/24/2005 23:26
2/4/2005 23:51,2/26/1970,01:01:01.1,1967-03-22 11:57:25.2990285 +00:00,2/4/2005 23:51,2/4/2005 23:51
6/4/1982 8:46,3/7/1983,01:01:01.11,1969-10-28 21:35:56.3922022 +00:00,6/4/1982 8:46,6/4/1982 8:46
6/24/2003 7:27,11/9/1969,01:01:01.111,1987-09-20 01:13:53.9576458 +00:00,6/24/2003 7:27,6/24/2003 7:27
10/5/1984 21:08,11/19/2007,01:01,1971-09-14 11:17:49.3366583 +00:00,10/5/1984 21:08,10/5/1984 21:08
1/12/1998 17:21,3/3/2001,01:01:01,1963-05-27 05:38:24.4527819 +00:00,1/12/1998 17:21,1/12/1998 17:21
2/24/2003 0:06,10/14/1996,01:01:01.1,1974-05-14 13:08:47.6312244 +00:00,2/24/2003 0:06,2/24/2003 0:06
2/19/1986 9:55,2/10/1965,01:01:01.11,1991-05-21 15:35:08.7748684 +00:00,2/19/1986 9:55,2/19/1986 9:55
12/30/2007 17:18,7/21/1958,01:01:01.111,2007-11-29 19:33:14.2972690 +00:00,12/30/2007 17:18,12/30/2007 17:18
6/23/1993 10:41,11/5/1962,01:01:01.1111,1958-05-14 01:02:00.7370924 +00:00,6/23/1993 10:41,6/23/1993 10:41
4/5/1998 10:49,8/5/1976,01:01:01.11111,1989-09-26 21:40:09.8642534 +00:00,4/5/1998 10:49,4/5/1998 10:49
2/24/2000 22:02,7/30/2005,01:01:01.111111,1989-08-19 11:00:17.1525440 +00:00,2/24/2000 22:02,2/24/2000 22:02
8/30/2002 13:33,2/16/1975,01:01:01.1111111,1994-03-05 09:57:17.5660826 +00:00,8/30/2002 13:33,8/30/2002 13:33
10/29/1982 3:58,8/2/1995,01:01,2001-09-22 13:17:56.7343818 +00:00,10/29/1982 3:58,10/29/1982 3:58
5/30/2000 17:11,2/13/2005,01:01:01,1985-07-20 15:08:05.9924406 +00:00,5/30/2000 17:11,5/30/2000 17:11
2/11/2000 21:03,9/28/1959,01:01:01.1,1983-08-25 22:58:26.0039412 +00:00,2/11/2000 21:03,2/11/2000 21:03
7/7/1983 15:24,1/25/1980,01:01:01.11,1958-05-23 16:52:53.6911088 +00:00,7/7/1983 15:24,7/7/1983 15:24
5/5/2005 8:01,8/26/1970,01:01:01.111,1953-07-02 22:24:46.8057194 +00:00,5/5/2005 8:01,5/5/2005 8:01
4/17/1985 23:31,6/13/1956,01:01:01.1111,1958-11-11 00:41:17.6986118 +00:00,4/17/1985 23:31,4/17/1985 23:31
5/7/1993 20:35,10/29/1978,01:01:01.11111,1994-09-01 13:05:17.1162526 +00:00,5/7/1993 20:35,5/7/1993 20:35
2/21/1995 4:08,10/24/1972,01:01:01.111111,1993-08-14 19:16:25.9568114 +00:00,2/21/1995 4:08,2/21/1995 4:08
2/10/1989 13:41,4/12/1974,01:01:01.1111111,1965-04-24 01:33:57.8332730 +00:00,2/10/1989 13:41,2/10/1989 13:41
10/15/1998 0:30,5/11/1973,01:01,1977-05-22 11:24:29.2818639 +00:00,10/15/1998 0:30,10/15/1998 0:30
2/10/1993 20:03,6/2/1953,01:01:01,1975-03-30 01:57:55.5815003 +00:00,2/10/1993 20:03,2/10/1993 20:03
5/3/2003 8:09,1/6/1987,01:01:01.1,1967-10-01 09:27:04.8783881 +00:00,5/3/2003 8:09,5/3/2003 8:09
8/27/2002 22:03,1/5/1999,01:01:01.11,2006-12-09 20:20:36.8601664 +00:00,8/27/2002 22:03,8/27/2002 22:03
3/21/2002 15:56,2/8/2000,01:01:01.111,1991-03-09 16:16:13.1208670 +00:00,3/21/2002 15:56,3/21/2002 15:56
5/27/2001 20:07,7/22/1995,01:01:01.1111,1993-03-17 23:24:03.3437428 +00:00,5/27/2001 20:07,5/27/2001 20:07
4/1/2006 6:55,11/20/1957,01:01:01.11111,1965-02-25 15:02:03.8977237 +00:00,4/1/2006 6:55,4/1/2006 6:55
4/4/1988 15:18,6/14/1954,01:01:01.111111,1994-05-16 06:03:23.6619110 +00:00,4/4/1988 15:18,4/4/1988 15:18
8/21/1994 0:04,9/29/2001,01:01:01.1111111,2007-08-24 10:30:36.1433338 +00:00,8/21/1994 0:04,8/21/1994 0:04
7/28/1998 20:32,6/6/1965,01:01,1958-09-30 08:51:57.7517354 +00:00,7/28/1998 20:32,7/28/1998 20:32
4/24/1989 1:20,1/5/2001,01:01:01,2006-10-08 09:42:17.9466606 +00:00,4/24/1989 1:20,4/24/1989 1:20
1/11/1988 0:34,3/14/1979,01:01:01.1,2007-02-10 07:58:04.4173506 +00:00,1/11/1988 0:34,1/11/1988 0:34
12/22/2002 13:25,7/11/1969,01:01:01.11,1982-01-07 18:36:57.9025052 +00:00,12/22/2002 13:25,12/22/2002 13:25
3/25/1986 11:14,9/26/1959,01:01:01.111,1965-08-31 03:29:36.3439416 +00:00,3/25/1986 11:14,3/25/1986 11:14
3/25/1985 22:46,12/20/1959,01:01:01.1111,1960-03-11 19:11:36.1614409 +00:00,3/25/1985 22:46,3/25/1985 22:46
12/1/1981 16:10,5/26/1973,01:01:01.11111,1992-12-16 13:35:23.8860954 +00:00,12/1/1981 16:10,12/1/1981 16:10
6/27/1997 9:25,2/15/1979,01:01:01.111111,1962-01-11 12:35:34.0282770 +00:00,6/27/1997 9:25,6/27/1997 9:25
5/28/1999 1:53,4/12/1973,01:01:01.1111111,1966-10-18 03:50:40.5393381 +00:00,5/28/1999 1:53,5/28/1999 1:53
8/25/1997 9:55,8/27/1983,01:01,1965-08-12 15:50:12.7213237 +00:00,8/25/1997 9:55,8/25/1997 9:55
12/21/2005 0:29,10/31/1969,01:01:01,1956-05-03 13:51:25.0958490 +00:00,12/21/2005 0:29,12/21/2005 0:29
3/13/1986 10:39,10/7/1956,01:01:01.1,1956-12-24 21:52:08.4356930 +00:00,3/13/1986 10:39,3/13/1986 10:39
12/31/2005 23:09,3/21/1962,01:01:01.11,1991-08-22 14:57:30.8717654 +00:00,12/31/2005 23:09,12/31/2005 23:09
11/11/1981 5:59,6/14/1967,01:01:01.111,1976-09-17 16:46:18.3388776 +00:00,11/11/1981 5:59,11/11/1981 5:59
3/14/2005 11:12,2/25/1977,01:01:01.1111,1960-02-15 19:22:39.0095457 +00:00,3/14/2005 11:12,3/14/2005 11:12
12/30/1998 9:32,6/1/1994,01:01:01.11111,2005-11-03 10:54:49.3156578 +00:00,12/30/1998 9:32,12/30/1998 9:32
8/19/1982 0:28,8/28/1962,01:01:01.111111,1970-03-14 00:14:03.1268293 +00:00,8/19/1982 0:28,8/19/1982 0:28
3/4/1984 16:05,7/23/1960,01:01:01.1111111,1963-08-03 01:58:08.0140218 +00:00,3/4/1984 16:05,3/4/1984 16:05
12/29/1982 21:37,10/24/1999,01:01,1988-08-06 10:53:55.9014232 +00:00,12/29/1982 21:37,12/29/1982 21:37
1/27/1997 12:48,10/11/2007,01:01:01,1953-05-14 13:05:53.9046268 +00:00,1/27/1997 12:48,1/27/1997 12:48
9/6/2006 19:35,6/30/1970,01:01:01.1,1989-03-13 09:52:28.2907252 +00:00,9/6/2006 19:35,9/6/2006 19:35
9/26/1993 3:12,2/16/2007,01:01:01.11,1985-11-05 06:11:11.9808354 +00:00,9/26/1993 3:12,9/26/1993 3:12
2/23/1984 0:33,10/27/1988,01:01:01.111,1997-10-10 17:34:41.2837448 +00:00,2/23/1984 0:33,2/23/1984 0:33
12/21/1998 6:08,1/1/2000,01:01:01.1111,1959-03-19 12:01:29.6559007 +00:00,12/21/1998 6:08,12/21/1998 6:08
12/15/1995 9:45,6/18/1991,01:01:01.11111,2000-05-18 08:31:01.0857690 +00:00,12/15/1995 9:45,12/15/1995 9:45
4/23/1986 23:20,10/18/2004,01:01:01.111111,1997-10-30 00:32:56.0171646 +00:00,4/23/1986 23:20,4/23/1986 23:20
4/22/1997 12:44,10/6/1982,01:01:01.1111111,2002-07-31 19:38:00.8107020 +00:00,4/22/1997 12:44,4/22/1997 12:44
2/21/1980 23:17,11/4/1990,01:01,1972-12-20 15:46:49.0792578 +00:00,2/21/1980 23:17,2/21/1980 23:17
2/7/1990 23:06,11/15/1961,01:01:01,1972-10-04 14:57:12.4764919 +00:00,2/7/1990 23:06,2/7/1990 23:06
10/24/2003 1:25,1/24/1954,01:01:01.1,1980-03-18 13:22:11.3319147 +00:00,10/24/2003 1:25,10/24/2003 1:25
9/29/1981 3:58,3/27/1954,01:01:01.11,1989-02-25 13:44:44.2874818 +00:00,9/29/1981 3:58,9/29/1981 3:58
11/20/1987 3:00,3/24/1960,01:01:01.111,1979-03-27 00:33:04.8771447 +00:00,11/20/1987 3:00,11/20/1987 3:00
9/27/1999 2:00,2/7/1957,01:01:01.1111,1966-07-17 13:29:50.6353580 +00:00,9/27/1999 2:00,9/27/1999 2:00
11/2/2006 10:38,2/6/1969,01:01:01.11111,1958-09-19 14:31:24.5937585 +00:00,11/2/2006 10:38,11/2/2006 10:38
9/7/2007 14:18,3/1/1964,01:01:01.111111,1983-12-29 12:48:12.1125180 +00:00,9/7/2007 14:18,9/7/2007 14:18
11/2/1990 20:42,7/26/1957,01:01:01.1111111,1990-11-11 01:17:59.2058832 +00:00,11/2/1990 20:42,11/2/1990 20:42
8/20/1994 12:59,12/6/2003,01:01,1995-01-23 01:59:13.1487320 +00:00,8/20/1994 12:59,8/20/1994 12:59
11/6/1987 14:34,1/23/1979,01:01:01,1972-09-15 18:40:58.8318765 +00:00,11/6/1987 14:34,11/6/1987 14:34
3/8/1994 5:56,5/21/1998,01:01:01.1,1972-11-20 11:38:29.6484990 +00:00,3/8/1994 5:56,3/8/1994 5:56
11/18/1994 22:16,10/10/2007,01:01:01.11,1976-06-16 03:46:49.8425005 +00:00,11/18/1994 22:16,11/18/1994 22:16
8/5/1981 23:13,9/1/1959,01:01:01.111,1973-06-06 03:17:29.8050134 +00:00,8/5/1981 23:13,8/5/1981 23:13
11/8/1987 22:35,7/11/1999,01:01:01.1111,1999-06-21 09:49:12.7774424 +00:00,11/8/1987 22:35,11/8/1987 22:35
11/20/1993 21:38,3/4/1991,01:01:01.11111,2000-01-23 20:50:37.1592736 +00:00,11/20/1993 21:38,11/20/1993 21:38
9/12/2003 10:41,3/4/2003,01:01:01.111111,1982-01-20 21:15:04.3949290 +00:00,9/12/2003 10:41,9/12/2003 10:41
3/2/1997 3:39,12/25/1955,01:01:01.1111111,1990-04-14 05:25:00.8609624 +00:00,3/2/1997 3:39,3/2/1997 3:39
12/1/1982 3:02,7/7/1970,01:02,1961-05-01 03:41:49.3975799 +00:00,12/1/1982 3:02,12/1/1982 3:02
10/13/2000 1:22,2/21/1964,01:01:02,1993-09-29 20:26:58.4100986 +00:00,10/13/2000 1:22,10/13/2000 1:22
4/2/1991 14:03,12/20/1993,01:01:01.1,2006-07-11 09:11:37.2426226 +00:00,4/2/1991 14:03,4/2/1991 14:03
2/17/2006 20:57,11/11/1962,01:01:01.11,1960-08-16 14:04:25.8688423 +00:00,2/17/2006 20:57,2/17/2006 20:57
8/29/1983 12:30,8/7/1957,01:01:01.111,1954-02-06 09:25:47.5445085 +00:00,8/29/1983 12:30,8/29/1983 12:30
8/3/1999 15:28,6/14/1990,01:01:01.1111,1973-12-27 16:02:09.9940378 +00:00,8/3/1999 15:28,8/3/1999 15:28
3/25/1997 4:02,12/31/1987,01:01:01.11111,1982-08-16 21:25:55.3297208 +00:00,3/25/1997 4:02,3/25/1997 4:02
4/3/2003 9:18,1/28/1966,01:01:01.111111,1984-07-21 04:08:07.9963006 +00:00,4/3/2003 9:18,4/3/2003 9:18
3/8/1999 2:30,9/3/1954,01:01:01.1111111,1994-01-02 16:57:29.7572842 +00:00,3/8/1999 2:30,3/8/1999 2:30
,4/1/1984,01:02,1971-06-14 00:38:07.8526088 +00:00,,
12/14/1995 4:29,4/20/1966,01:01:02,1980-11-24 02:40:45.7709000 +00:00,12/14/1995 4:29,12/14/1995 4:29
11/1/1984 17:19,3/11/1965,01:01:01.1,1961-12-29 16:07:36.6629159 +00:00,11/1/1984 17:19,11/1/1984 17:19
3/2/1985 0:46,3/13/1987,01:01:01.11,2000-11-24 19:56:34.7614498 +00:00,3/2/1985 0:46,3/2/1985 0:46
1/19/1997 18:26,1/24/1986,01:01:01.111,1989-08-21 10:05:56.8167364 +00:00,1/19/1997 18:26,1/19/1997 18:26
1/8/1987 3:39,12/9/1962,01:01:01.1111,1975-11-01 02:56:40.3267770 +00:00,1/8/1987 3:39,1/8/1987 3:39
12/1/2007 11:55,3/16/1985,01:01:01.11111,1965-08-10 23:33:35.3507389 +00:00,12/1/2007 11:55,12/1/2007 11:55
12/3/1995 10:03,7/23/1990,01:01:01.111111,1972-12-27 21:48:34.8068376 +00:00,12/3/1995 10:03,12/3/1995 10:03
10/10/1981 16:52,4/3/1970,01:01:01.1111111,1997-04-07 21:38:21.5517850 +00:00,10/10/1981 16:52,10/10/1981 16:52
5/20/1987 10:19,3/19/1972,01:02,1994-07-31 14:28:29.2074234 +00:00,5/20/1987 10:19,5/20/1987 10:19
8/4/2003 0:28,6/3/1982,01:01:02,1984-06-16 02:05:28.4338420 +00:00,8/4/2003 0:28,8/4/2003 0:28
11/27/1995 5:56,8/10/1962,01:01:01.1,1985-02-06 13:18:20.2187044 +00:00,11/27/1995 5:56,11/27/1995 5:56
1/31/1998 21:29,8/30/2007,01:01:01.11,1998-06-09 08:22:17.8003350 +00:00,1/31/1998 21:29,1/31/1998 21:29
6/16/1994 8:39,2/12/2001,01:01:01.111,1985-12-04 00:26:06.2780070 +00:00,6/16/1994 8:39,6/16/1994 8:39
2/28/2007 12:32,4/14/1956,01:01:01.1111,2000-09-19 03:58:06.2263598 +00:00,2/28/2007 12:32,2/28/2007 12:32
3/5/1982 15:42,8/3/1972,01:01:01.11111,1977-04-05 18:04:39.8036625 +00:00,3/5/1982 15:42,3/5/1982 15:42
5/12/1994 14:30,6/27/1998,01:01:01.111111,1963-10-13 08:55:36.1669258 +00:00,5/12/1994 14:30,5/12/1994 14:30
5/11/1984 20:33,8/6/1991,01:01:01.1111111,2005-06-27 05:33:04.2949528 +00:00,5/11/1984 20:33,5/11/1984 20:33
10/12/2002 9:55,3/4/1970,01:02,1998-09-11 14:19:38.3655228 +00:00,10/12/2002 9:55,10/12/2002 9:55
12/27/1997 10:09,1/15/2000,01:01:02,1965-02-21 07:07:06.0589227 +00:00,12/27/1997 10:09,12/27/1997 10:09
2/9/1996 23:21,2/10/2001,01:01:01.1,1987-12-08 09:48:24.0996134 +00:00,2/9/1996 23:21,2/9/1996 23:21
6/24/1995 13:34,12/20/1978,01:01:01.11,1997-09-22 00:03:15.5132828 +00:00,6/24/1995 13:34,6/24/1995 13:34
10/29/1998 20:59,,01:01:01.111,1993-10-12 09:20:34.8215618 +00:00,10/29/1998 20:59,10/29/1998 20:59
11/5/2007 5:35,12/16/1968,01:01:01.1111,,11/5/2007 5:35,11/5/2007 5:35
6/11/1988 13:53,8/25/1993,01:01:01.11111,1968-09-20 20:19:36.8888158 +00:00,6/11/1988 13:53,6/11/1988 13:53
10/21/1981 2:28,1/8/1997,01:01:01.111111,1976-12-04 06:36:28.7949384 +00:00,10/21/1981 2:28,10/21/1981 2:28
1/14/1993 6:43,12/13/1973,01:01:01.1111111,1992-01-19 04:49:11.6881890 +00:00,1/14/1993 6:43,1/14/1993 6:43
7/10/1993 21:59,8/28/1993,01:02,1957-01-31 04:05:57.6070660 +00:00,7/10/1993 21:59,7/10/1993 21:59
1/20/1986 22:41,10/17/1996,01:01:02,2004-01-20 10:26:23.5680794 +00:00,1/20/1986 22:41,1/20/1986 22:41
1/3/1982 2:20,12/24/1980,01:01:01.1,1965-05-07 01:42:23.2104154 +00:00,1/3/1982 2:20,1/3/1982 2:20
6/12/1986 10:35,4/10/1957,01:01:01.11,1971-08-30 05:31:24.9319834 +00:00,6/12/1986 10:35,6/12/1986 10:35
3/22/1984 9:57,8/13/1971,01:01:01.111,1959-03-23 21:20:01.3378769 +00:00,3/22/1984 9:57,3/22/1984 9:57
7/5/1992 23:57,3/28/1974,01:01:01.1111,1959-07-13 16:18:48.9577608 +00:00,7/5/1992 23:57,7/5/1992 23:57
8/17/1992 17:42,2/24/2002,01:01:01.11111,2002-09-04 20:24:56.8808442 +00:00,8/17/1992 17:42,8/17/1992 17:42
7/21/1980 23:30,6/8/1955,01:01:01.111111,1980-07-13 20:32:20.8780740 +00:00,7/21/1980 23:30,7/21/1980 23:30
11/20/1990 6:09,11/7/1992,01:01:01.1111111,1995-04-07 13:53:16.7411498 +00:00,11/20/1990 6:09,11/20/1990 6:09
11/5/2002 20:59,11/12/2005,01:02,1956-02-05 10:07:26.3416179 +00:00,11/5/2002 20:59,11/5/2002 20:59
9/2/1985 19:56,5/16/2000,01:01:02,1981-11-13 09:10:22.5429674 +00:00,9/2/1985 19:56,9/2/1985 19:56
7/30/2005 18:33,9/25/1969,01:01:01.1,2002-02-27 06:02:38.3872820 +00:00,7/30/2005 18:33,7/30/2005 18:33
10/29/1980 10:54,12/29/2000,01:01:01.11,1991-01-25 08:35:02.0151402 +00:00,10/29/1980 10:54,10/29/1980 10:54
4/6/1994 18:02,6/13/1988,01:01:01.111,2005-01-19 08:41:49.3217220 +00:00,4/6/1994 18:02,4/6/1994 18:02
12/16/2006 12:14,7/27/1975,01:01:01.1111,1963-11-07 04:13:14.4917615 +00:00,12/16/2006 12:14,12/16/2006 12:14
10/26/2007 6:22,2/9/1977,01:01:01.11111,1953-06-10 05:28:54.9981757 +00:00,10/26/2007 6:22,10/26/2007 6:22
6/21/1980 12:16,4/10/1982,01:01:01.111111,1955-03-16 12:10:51.2256573 +00:00,6/21/1980 12:16,6/21/1980 12:16
4/18/1998 21:10,12/16/1971,01:01:01.1111111,1958-06-26 06:22:07.9518502 +00:00,4/18/1998 21:10,4/18/1998 21:10
10/17/1987 4:45,10/2/1973,01:02,2005-08-05 19:09:35.9610870 +00:00,10/17/1987 4:45,10/17/1987 4:45
1/29/2007 6:11,5/17/2001,01:01:02,1958-03-08 16:06:40.6422581 +00:00,1/29/2007 6:11,1/29/2007 6:11
6/15/1996 18:23,11/7/1970,01:01:01.1,1970-11-21 19:19:31.5972449 +00:00,6/15/1996 18:23,6/15/1996 18:23
,1/9/1971,01:01:01.11,1960-10-27 20:00:52.1320916 +00:00,,
8/14/2001 12:51,9/7/1990,01:01:01.111,1958-10-23 05:13:31.0162628 +00:00,8/14/2001 12:51,8/14/2001 12:51
1/27/1989 22:21,4/10/1998,01:01:01.1111,1991-05-12 19:59:46.0651798 +00:00,1/27/1989 22:21,1/27/1989 22:21
10/9/1991 6:27,2/11/1967,01:01:01.11111,1998-04-26 00:30:11.3775828 +00:00,10/9/1991 6:27,10/9/1991 6:27
